rank,username,ptcg_id,area,points
206,Dragon,tw22280877,臺北市,0pt
207,Ivan,tw06195770,新北市,0pt
208,JAY,tw12516852,高雄市,0pt
209,Jelly,tw74783492,新北市,0pt
210,JoeyChang0521,tw89882541,新竹縣,0pt
211,Mike_wu,tw83426001,宜蘭縣,0pt
212,Alice,tw61675906,桃園市,0pt
213,Austin,tw03773578,臺北市,0pt
214,Bing,tw00283867,臺東縣,0pt
215,Brandon,tw98521904,新北市,0pt
216,Diego-N1ARK,tw57159167,高雄市,0pt
217,DoDo,tw42212253,新北市,0pt
218,EasonLee,tw98121463,新北市,0pt
219,Ethan,tw40518907,新北市,0pt
220,Golden,tw44119672,新北市,0pt
221,Harvey:),tw87179489,臺北市,0pt
222,Henry,tw23702739,桃園市,0pt
223,Jacob656,tw88469337,臺北市,0pt
224,James,tw53425245,桃園市,0pt
225,Jatt,tw56919295,新北市,0pt
226,Jeremy,tw20171459,臺北市,0pt
227,Mark0712,tw71446090,新北市,0pt
228,Miffy,tw52014839,彰化縣,0pt
229,Mingchen,tw89039996,新北市,0pt
230,Nick,tw61170081,高雄市,0pt
231,Oscar,tw83739705,桃園市,0pt
232,SAM,tw55309622,新北市,0pt
233,Sheep,tw55628257,臺中市,0pt
234,Tommy,tw51647865,新北市,0pt
235,ViolaLiau,tw27584631,苗栗縣,0pt
236,joker,tw98027117,雲林縣,0pt
237,mark,tw75127727,高雄市,0pt
238,pig,tw15417650,新北市,0pt
239,sega,tw27254700,臺北市,0pt
240,GMS_coffee086639,tw99788979,新竹縣,0pt
241,K.C,tw53499208,苗栗縣,0pt
242,1000Fu,tw73188216,彰化縣,0pt
243,7you1ting,tw61541085,高雄市,0pt
244,Anna,tw33976962,新北市,0pt
245,Chen,tw89692020,新竹縣,0pt
246,Cooper,tw33233319,新竹市,0pt
247,Fabio,tw91680832,臺中市,0pt
248,Hank,tw25778802,高雄市,0pt
249,Ian,tw95217073,臺北市,0pt
250,Ian,tw30147118,高雄市,0pt
251,Leo0825,tw68703676,高雄市,0pt
252,Terry,tw32701908,桃園市,0pt
253,Ting,tw90305952,高雄市,0pt
254,YO,tw68119802,高雄市,0pt
255,chen,tw48315800,新竹市,0pt
256,BST_Lydia,tw23289127,臺中市,0pt
257,Hitai,tw57173937,臺中市,0pt
258,Aix,tw07040865,高雄市,0pt
259,Alice,tw48874828,臺中市,0pt
260,B3NN3Tt,tw08788083,高雄市,0pt
261,Bob,tw61311183,新北市,0pt
262,Charlie,tw40490299,桃園市,0pt
263,Chenyen,tw81036560,新竹市,0pt
264,Chloe,tw03523852,臺中市,0pt
265,Clayton,tw28434285,新北市,0pt
266,Eason,tw68774056,新北市,0pt
267,Eason,tw22332732,新北市,0pt
268,Elson,tw95797097,桃園市,0pt
269,Henry,tw21355635,新北市,0pt
270,Henry,tw57273060,新北市,0pt
271,Henry,tw62892033,新北市,0pt
272,Howard,tw54264773,南投縣,0pt
273,Howard,tw31295126,高雄市,0pt
274,Jack,tw87593420,宜蘭縣,0pt
275,James,tw10133658,新北市,0pt
276,Kai,tw54206403,嘉義市,0pt
277,Koto,tw92715620,彰化縣,0pt
278,Laurum,tw12039685,高雄市,0pt
279,Mario,tw80139189,臺北市,0pt
280,Marshal,tw33463324,宜蘭縣,0pt
281,OuO,tw92027316,新北市,0pt
282,PeytonB886,tw86866405,彰化縣,0pt
283,Ray,tw07566360,臺北市,0pt
284,Ray,tw83766750,高雄市,0pt
285,Ryan,tw53917462,新北市,0pt
286,Ryanliang,tw75000248,新北市,0pt
287,Sean777,tw04850060,苗栗縣,0pt
288,Shygo,tw04986951,彰化縣,0pt
289,Tzo,tw35693495,花蓮縣,0pt
290,Unasong,tw64903698,臺北市,0pt
291,Wang,tw55045145,高雄市,0pt
292,Will7777,tw55993300,臺中市,0pt
293,Yoyo,tw75508081,臺南市,0pt
294,kevin,tw06774867,桃園市,0pt
295,li._0228,tw94315025,臺南市,0pt
296,space,tw27558785,臺中市,0pt
297,wei,tw68923388,南投縣,0pt
298,白米,tw20051527,臺中市,0pt
299,Allen,tw12458790,高雄市,0pt
300,Austin,tw32577060,新北市,0pt
301,AustinChao,tw06937698,桃園市,0pt
