rank,username,ptcg_id,area,points
318,1212wr,tw15533641,新北市,0pt
319,ChienTingYu,tw93020902,新北市,0pt
320,GOOSE,tw34536798,臺南市,0pt
321,Kuli,tw61785235,臺北市,0pt
322,Leegohome,tw35606425,新竹縣,0pt
323,MaxxC,tw91547922,臺南市,0pt
324,egghead,tw93105739,基隆市,0pt
325,AhShen,tw98688020,宜蘭縣,0pt
326,ChiaChe,tw30011078,臺中市,0pt
327,Eason,tw04870134,高雄市,0pt
328,John486Rem,tw33811608,新北市,0pt
329,Kai_,tw62599498,彰化縣,0pt
330,Nick,tw76371566,高雄市,0pt
331,Siang,tw75380665,臺中市,0pt
332,TiaoTiaoYeh,tw71730704,桃園市,0pt
333,TopCard_HAO,tw91720502,新竹市,0pt
334,WoXianGong,tw87500073,新北市,0pt
335,YP.JE,tw52663760,基隆市,0pt
336,Ytxx,tw60511158,桃園市,0pt
337,jun,tw29083759,高雄市,0pt
338,never3317,tw93786012,彰化縣,0pt
339,wy,tw38236579,新竹縣,0pt
340,xLamit,tw36677953,臺南市,0pt
341,Danny,tw78866457,新北市,0pt
342,AC,tw90806836,高雄市,0pt
343,Aragari,tw92466220,新竹縣,0pt
344,DOGE,tw65741542,新北市,0pt
345,Ertai,tw29372557,新北市,0pt
346,Jia,tw84991038,雲林縣,0pt
347,LeeKai,tw26670105,臺北市,0pt
348,LukaLuka,tw27556466,臺北市,0pt
349,MurphySCF,tw78144908,臺北市,0pt
350,Osborn,tw07020662,臺北市,0pt
351,Pan-Jui-Yen,tw11121423,新北市,0pt
352,Shooting,tw66459371,臺北市,0pt
353,SkySky,tw92250919,新北市,0pt
354,Sugar,tw70942920,臺北市,0pt
355,TuTuLin,tw69425578,高雄市,0pt
356,Will,tw95120042,臺中市,0pt
357,jacku,tw79434198,新竹市,0pt
358,johyan,tw27308734,臺北市,0pt
359,kay,tw48927744,基隆市,0pt
360,JJIBB_uglyfish,tw69221566,高雄市,0pt
361,Leon,tw27395288,新北市,0pt
362,Ying,tw24311735,彰化縣,0pt
363,jeremychen,tw71550438,花蓮縣,0pt
364,David,tw42979297,新北市,0pt
365,Dennis,tw75820315,臺北市,0pt
366,Laisun,tw74963860,高雄市,0pt
367,Tsaiuu,tw68492472,臺中市,0pt
368,WEI,tw50453642,澎湖縣,0pt
369,YI,tw20362825,臺南市,0pt
370,ninja._.wa,tw89548879,南投縣,0pt
371,omi,tw96801156,高雄市,0pt
372,ArJay,tw26080590,臺南市,0pt
373,Blue2Mo,tw90564971,臺北市,0pt
374,CHIU HSIN WEI,tw09904717,彰化縣,0pt
375,KAZMA,tw76994845,桃園市,0pt
376,Mine_Uncle,tw01124210,臺南市,0pt
377,WeiJay,tw94687968,彰化縣,0pt
378,BST-NonSama,tw97857197,臺中市,0pt
379,Bala,tw51108451,新竹市,0pt
380,Chi7,tw15456300,臺北市,0pt
381,Cloud,tw55484477,高雄市,0pt
382,Eugenie,tw58781969,臺北市,0pt
383,Jayce,tw69576075,臺北市,0pt
384,Juangken,tw23249034,臺北市,0pt
385,Orange,tw77589256,臺中市,0pt
386,ShaArRK,tw51496473,桃園市,0pt
387,Smallku2782,tw28510545,新北市,0pt
388,SnorLAX,tw08457807,苗栗縣,0pt
389,Spawn,tw42740359,高雄市,0pt
390,Terry,tw32020032,高雄市,0pt
391,Wilson168,tw45684530,臺北市,0pt
392,Wucom,tw52723058,高雄市,0pt
393,mark,tw12494287,高雄市,0pt
394,Awei,tw89407764,新北市,0pt
395,DDawn,tw17748447,屏東縣,0pt
