rank,username,ptcg_id,area,points
282,Allen,tw12458790,高雄市,5pt
282,Austin,tw32577060,新北市,5pt
282,AustinChao,tw06937698,桃園市,5pt
282,Baybay,tw40994416,新北市,5pt
282,Ethan,tw29790670,臺北市,5pt
282,GMS_coffee086639,tw99788979,新竹縣,5pt
282,JL,tw01003353,新北市,5pt
282,Joanna,tw74546376,臺北市,5pt
282,Kane,tw02153841,雲林縣,5pt
282,Kaya,tw37808612,新北市,5pt
282,Kenny,tw81358721,新北市,5pt
282,Kevin114514,tw83480674,臺北市,5pt
282,LEO,tw32417762,臺中市,5pt
282,Lemon,tw69956243,新北市,5pt
282,Liam,tw13591620,金門縣,5pt
282,Ryan,tw33844026,新北市,5pt
282,Starbee,tw03308149,臺北市,5pt
282,TOBY,tw21630280,臺中市,5pt
282,TRR,tw85805854,桃園市,5pt
282,TingChung,tw56197320,臺中市,5pt
282,Tony,tw67814341,臺北市,5pt
282,Vrttw,tw40722297,臺北市,5pt
282,WEN,tw37101976,新北市,5pt
282,William,tw30182919,臺南市,5pt
282,XiJinping,tw97165922,新竹市,5pt
282,bong,tw21134787,苗栗縣,5pt
282,cvbid,tw48329396,臺南市,5pt
282,jsttu2125,tw68822428,新北市,5pt
282,liyuchen990704,tw74771672,新竹縣,5pt
282,pokemonHank,tw07498797,臺南市,5pt
282,waterwork,tw68389784,臺北市,5pt
313,123456789,tw69404327,臺中市,4pt
313,Alice,tw81357440,新北市,4pt
313,BST_Lydia,tw23289127,臺中市,4pt
313,Bella,tw91876395,苗栗縣,4pt
313,Black-Penguin,tw94967871,桃園市,4pt
313,DIDIGINGOBI,tw94692123,高雄市,4pt
313,Duncan,tw49925937,桃園市,4pt
313,Eric,tw53103765,臺北市,4pt
313,Ethan,tw85225105,桃園市,4pt
313,Freddy,tw18831429,臺中市,4pt
313,Happy,tw81009931,臺中市,4pt
313,Harry,tw25854174,新竹市,4pt
313,Hewitt,tw02519013,臺北市,4pt
313,Hitai,tw57173937,臺中市,4pt
313,Jason,tw37855988,臺北市,4pt
313,JustinChang0912,tw06953175,新竹縣,4pt
313,Kimi,tw38407666,臺中市,4pt
313,Lee,tw71931416,高雄市,4pt
313,Luke,tw17698132,新北市,4pt
313,MW-Hong,tw23189382,高雄市,4pt
313,MasonTse,tw24493749,臺北市,4pt
313,Minnie,tw17712172,新北市,4pt
313,Molly,tw84957647,臺北市,4pt
313,Peter0131,tw07806674,高雄市,4pt
313,RedName:/,tw64841238,新北市,4pt
313,Shara,tw88239785,新北市,4pt
313,Slyron,tw86721170,桃園市,4pt
313,WUJIASIANG,tw42891021,彰化縣,4pt
313,max,tw13175197,桃園市,4pt
313,smile,tw85760897,臺南市,4pt
313,大安呆伊布,tw04530685,臺北市,4pt
344,muaji._.dpx,tw99691140,新北市,3pt
345,$Aiden$,tw88998927,桃園市,0pt
345,********************,tw60350798,高雄市,0pt
345,********************,tw63599207,高雄市,0pt
345,-RAY-,tw73628892,新北市,0pt
345,3.1415,tw13929733,新北市,0pt
345,1818,tw26592496,新北市,0pt
345,12345,tw51471847,新北市,0pt
345,142857,tw54879046,南投縣,0pt
345,878787,tw98595535,桃園市,0pt
345,987654321,tw79702513,新竹縣,0pt
345,20131204001,tw44131772,苗栗縣,0pt
345,52$$52$$,tw00610960,新北市,0pt
345,981120_kai,tw24375776,桃園市,0pt
345,:>,tw64829883,高雄市,0pt
345,:],tw30973078,高雄市,0pt
345,@_@,tw33313861,臺南市,0pt
345,AAA.,tw53506901,高雄市,0pt
345,ANO,tw88383622,桃園市,0pt
345,Ace,tw38146096,新竹縣,0pt
345,Adam,tw34855660,新北市,0pt
345,Alan,tw67216298,臺中市,0pt
345,Albert,tw55451987,桃園市,0pt
345,Albert.H,tw73780279,臺中市,0pt
345,Alex,tw75042752,新北市,0pt
345,Alez,tw93176236,高雄市,0pt
345,Alston,tw23502628,苗栗縣,0pt
345,Alston,tw23428252,高雄市,0pt
345,Alvin,tw34068679,臺北市,0pt
345,Alvinh,tw36284604,臺北市,0pt
345,Amongus,tw97795517,臺北市,0pt
345,An,tw58490256,高雄市,0pt
345,Andrew,tw51464871,新竹市,0pt
345,Andrew0213,tw27148574,新北市,0pt
345,Andrewyueh,tw07494814,新北市,0pt
345,Andy1724,tw14825497,桃園市,0pt
345,Andy520,tw32801069,高雄市,0pt
345,AndyLiu,tw19846152,桃園市,0pt
345,Ann,tw30287263,臺中市,0pt
345,Anthony,tw57123763,新竹縣,0pt
345,Apple,tw82042897,桃園市,0pt
345,Arnold,tw58280225,新北市,0pt
345,Astinlai,tw92746318,新北市,0pt
345,Aton,tw47968107,桃園市,0pt
345,Austin,tw19561393,彰化縣,0pt
345,B.S.T Adam,tw81338076,臺中市,0pt
345,BOWN,tw18059812,新北市,0pt
345,BT,tw85633415,臺中市,0pt
345,Bard,tw59747434,高雄市,0pt
345,Belle,tw00121192,新北市,0pt
345,Bibarel,tw79618823,新北市,0pt
345,BigJay,tw49185198,屏東縣,0pt
345,Biggie,tw23009605,新北市,0pt
345,Bigguy,tw08809914,臺北市,0pt
345,Blue-rabbit,tw76371374,桃園市,0pt
345,Bojyunchen,tw18495385,新北市,0pt
345,Branden0712,tw34631417,高雄市,0pt
345,Brett,tw93348936,彰化縣,0pt
345,BriaN,tw76131589,新北市,0pt
345,Bulbasaur,tw37435098,臺北市,0pt
345,Bule,tw17279202,宜蘭縣,0pt
345,CANDY7,tw01537140,高雄市,0pt
345,CHEN-BING-JIE,tw13449423,彰化縣,0pt
345,CHENRyan,tw42261938,臺北市,0pt
345,CHTso,tw81645918,新竹縣,0pt
345,Caleb,tw27788362,臺北市,0pt
345,CardPackKing,tw27614693,新北市,0pt
345,Carol,tw86383314,高雄市,0pt
345,Caster,tw34972125,南投縣,0pt
345,Cayden,tw91655050,新竹縣,0pt
345,Charlie,tw67499326,新北市,0pt
345,Charlie,tw83004748,新竹縣,0pt
345,Chautin,tw64006248,高雄市,0pt
345,Chen,tw12141522,新竹市,0pt
345,Chi,tw17310914,新北市,0pt
345,ChiBing,tw65753987,桃園市,0pt
345,Chin-ii,tw61100990,高雄市,0pt
345,Chou-bing-chein,tw52509435,彰化縣,0pt
345,Chris,tw56976478,新北市,0pt
345,ChrisKuo,tw71911721,臺北市,0pt
345,Chrispin,tw45404096,高雄市,0pt
345,Chunhao,tw09563486,高雄市,0pt
345,Cindy,tw47867576,新北市,0pt
345,Colin,tw61611288,新北市,0pt
345,Cory,tw34494847,新北市,0pt
345,Costa-P,tw96578235,臺北市,0pt
345,Cow,tw78854891,高雄市,0pt
345,Crow,tw04844317,新北市,0pt
345,Curtis,tw30260076,新北市,0pt
345,Cuteglaceon,tw86754212,高雄市,0pt
345,DDEEA57,tw16906817,臺北市,0pt
345,DODO,tw05929087,新北市,0pt
345,DarrenChiu,tw95718259,臺北市,0pt
345,Derek,tw14753402,臺北市,0pt
345,Dewott,tw32945802,新竹市,0pt
345,Dfft,tw63033237,臺南市,0pt
345,Diego,tw98026492,臺北市,0pt
345,Dillo,tw14089506,臺北市,0pt
345,Dino,tw34341752,新北市,0pt
345,Ditto.1,tw33562653,新北市,0pt
345,Docan,tw77080131,臺中市,0pt
345,Dondon,tw47050420,新竹市,0pt
