rank,username,ptcg_id,area,points
244,Hao,tw33171149,彰化縣,62pt
244,Mazu,tw37918429,桃園市,62pt
244,Pululu,tw11512917,新竹縣,62pt
244,Superpig,tw95668915,高雄市,62pt
244,Yun,tw13224458,臺中市,62pt
244,jxjason,tw40274722,臺北市,62pt
244,real1027,tw99213849,新竹縣,62pt
244,yogioh0,tw06072288,桃園市,62pt
244,yuhina,tw86437657,高雄市,62pt
255,LINYUSIANG,tw27419844,雲林縣,61pt
255,Lazurite,tw41523616,臺中市,61pt
255,Ole',tw72966382,新北市,61pt
255,Tony777,tw89297350,臺中市,61pt
255,靖儒,tw46020620,嘉義市,61pt
255,Terry,tw32020032,高雄市,61pt
261,Allen,tw73187416,臺中市,60pt
261,CY,tw05715928,臺北市,60pt
261,ChangHsinChen,tw60920600,新北市,60pt
261,Charlie,tw64567116,臺中市,60pt
261,Eric,tw84406921,新北市,60pt
261,Goodmouse,tw04959593,新北市,60pt
261,Hypno_Sammu,tw25488947,臺中市,60pt
261,J,tw27758570,臺北市,60pt
261,Janet,tw13786805,臺北市,60pt
261,Liang,tw36942940,彰化縣,60pt
261,OrangeW,tw24266071,新北市,60pt
261,abao,tw26582888,高雄市,60pt
261,soraPanic,tw46423373,臺北市,60pt
261,wei,tw99738792,屏東縣,60pt
275,Bryn,tw72174151,新北市,59pt
275,GUAN-LUN-CHEN,tw01012666,新北市,59pt
275,Joe,tw37765295,臺北市,59pt
275,Melvin,tw40620066,高雄市,59pt
279,FF,tw76568846,新北市,58pt
279,Fan,tw32717439,桃園市,58pt
279,Jack,tw77414759,臺北市,58pt
279,Noir,tw83663725,雲林縣,58pt
279,Raysun,tw70273656,臺北市,58pt
279,Shin,tw14788730,臺北市,58pt
279,Siang,tw25684532,臺中市,58pt
279,Skylar,tw59548820,臺北市,58pt
279,XJH_Chuiyi,tw52301948,新北市,58pt
279,YO,tw57196950,新竹市,58pt
279,Yu,tw94518932,彰化縣,58pt
279,Yuh,tw11642031,高雄市,58pt
291,Jason,tw10410998,新北市,57pt
291,MIAWO,tw90694553,嘉義市,57pt
291,Zhang1205,tw22171154,高雄市,57pt
294,Beef,tw79411276,新北市,56pt
294,ChiaChia,tw85568194,高雄市,56pt
294,Friedrich,tw15171356,桃園市,56pt
294,HOME洋,tw77699656,高雄市,56pt
294,JHE,tw30419396,臺北市,56pt
294,JOKE,tw68209178,新北市,56pt
294,Justin,tw16280450,臺北市,56pt
294,Lalabear,tw55319617,高雄市,56pt
294,Leona,tw09225948,新竹縣,56pt
294,Mareep,tw88521370,臺中市,56pt
294,OGP_Tim,tw80527710,高雄市,56pt
294,Sean666,tw46437830,臺中市,56pt
294,WangLin,tw50680843,高雄市,56pt
294,YoyoYang,tw57062134,新北市,56pt
294,hihilifestyle,tw67604361,新北市,56pt
294,house,tw75352342,新北市,56pt
294,kojiloo,tw38671111,新北市,56pt
294,rober,tw88843922,桃園市,56pt
294,Eugenie,tw58781969,臺北市,56pt
313,Misutirara,tw07211448,臺北市,55pt
313,Godkiller,tw79723871,苗栗縣,55pt
313,a1phaki,tw70378594,桃園市,55pt
316,Aden,tw52162016,新北市,54pt
316,Bilitherubin,tw38743212,新北市,54pt
316,Bruce_Chen,tw23712439,新北市,54pt
316,Fi_ZhengYang,tw11047177,高雄市,54pt
316,LittleLin,tw13366339,臺中市,54pt
316,MW-pang,tw45178021,高雄市,54pt
316,Mugen,tw66907796,臺南市,54pt
316,Oops,tw95345106,桃園市,54pt
316,Xiaogotall,tw58532021,高雄市,54pt
316,Keng,tw86152305,臺中市,54pt
326,1212wr,tw15533641,新北市,53pt
326,GOOSE,tw34536798,臺南市,53pt
326,Kuli,tw61785235,臺北市,53pt
326,Leegohome,tw35606425,新竹縣,53pt
326,MaxxC,tw91547922,臺南市,53pt
326,egghead,tw93105739,基隆市,53pt
332,AhShen,tw98688020,宜蘭縣,52pt
332,ChiaChe,tw30011078,臺中市,52pt
332,Eason,tw04870134,高雄市,52pt
332,John486Rem,tw33811608,新北市,52pt
332,Kai_,tw62599498,彰化縣,52pt
332,Nick,tw76371566,高雄市,52pt
332,Siang,tw75380665,臺中市,52pt
332,TiaoTiaoYeh,tw71730704,桃園市,52pt
332,TopCard_HAO,tw91720502,新竹市,52pt
332,WoXianGong,tw87500073,新北市,52pt
332,YP.JE,tw52663760,基隆市,52pt
332,Ytxx,tw60511158,桃園市,52pt
332,jun,tw29083759,高雄市,52pt
332,never3317,tw93786012,彰化縣,52pt
332,wy,tw38236579,新竹縣,52pt
332,xLamit,tw36677953,臺南市,52pt
348,Danny,tw78866457,新北市,51pt
349,AC,tw90806836,高雄市,50pt
349,Aragari,tw92466220,新竹縣,50pt
349,DOGE,tw65741542,新北市,50pt
349,Ertai,tw29372557,新北市,50pt
349,Jia,tw84991038,雲林縣,50pt
349,LeeKai,tw26670105,臺北市,50pt
349,LukaLuka,tw27556466,臺北市,50pt
349,MurphySCF,tw78144908,臺北市,50pt
349,Osborn,tw07020662,臺北市,50pt
349,Pan-Jui-Yen,tw11121423,新北市,50pt
349,Shooting,tw66459371,臺北市,50pt
349,SkySky,tw92250919,新北市,50pt
349,Sugar,tw70942920,臺北市,50pt
349,TuTuLin,tw69425578,高雄市,50pt
349,Will,tw95120042,臺中市,50pt
349,jacku,tw79434198,新竹市,50pt
349,johyan,tw27308734,臺北市,50pt
349,kay,tw48927744,基隆市,50pt
349,Bruce,tw84916149,新北市,50pt
368,JJIBB_uglyfish,tw69221566,高雄市,49pt
368,Leon,tw27395288,新北市,49pt
368,Ying,tw24311735,彰化縣,49pt
368,jeremychen,tw71550438,花蓮縣,49pt
368,Langgam571,tw24570904,臺北市,49pt
368,SHEN,tw65991509,新北市,49pt
368,Sky,tw49826410,臺北市,49pt
375,David,tw42979297,新北市,48pt
375,Dennis,tw75820315,臺北市,48pt
375,Laisun,tw74963860,高雄市,48pt
375,Tsaiuu,tw68492472,臺中市,48pt
375,WEI,tw50453642,澎湖縣,48pt
375,YI,tw20362825,臺南市,48pt
375,ninja._.wa,tw89548879,南投縣,48pt
375,omi,tw96801156,高雄市,48pt
375,Zhongchengen,tw62958507,臺中市,48pt
384,ArJay,tw26080590,臺南市,47pt
384,Blue2Mo,tw90564971,臺北市,47pt
384,CHIU HSIN WEI,tw09904717,彰化縣,47pt
384,KAZMA,tw76994845,桃園市,47pt
384,Mine_Uncle,tw01124210,臺南市,47pt
384,WeiJay,tw94687968,彰化縣,47pt
390,BST-NonSama,tw97857197,臺中市,46pt
390,Bala,tw51108451,新竹市,46pt
390,Chi7,tw15456300,臺北市,46pt
390,Cloud,tw55484477,高雄市,46pt
390,Jayce,tw69576075,臺北市,46pt
390,Juangken,tw23249034,臺北市,46pt
390,Orange,tw77589256,臺中市,46pt
390,ShaArRK,tw51496473,桃園市,46pt
390,Smallku2782,tw28510545,新北市,46pt
390,SnorLAX,tw08457807,苗栗縣,46pt
390,Spawn,tw42740359,高雄市,46pt
390,Wilson168,tw45684530,臺北市,46pt
390,Wucom,tw52723058,高雄市,46pt
390,mark,tw12494287,高雄市,46pt
390,israining,tw93660736,高雄市,46pt
405,Awei,tw89407764,新北市,45pt
405,DDawn,tw17748447,屏東縣,45pt
405,Lisalu,tw43007249,臺中市,45pt
