record_type,round,page_index,table_no,player_no,player_id,player_name,player_score,opponent_id,opponent_name,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 1,2,650,724,tw24152665,,,,,,,,,,
round_pairing,Round 2,1,601,710,tw08069127,,3,tw13785127,,3,,,,,
round_pairing,Round 2,1,601,714,tw13785127,,3,tw08069127,,3,,,,,
round_pairing,Round 2,1,602,706,tw04887888,,3,tw15567133,,3,,,,,
round_pairing,Round 2,1,602,718,tw15567133,,3,tw04887888,,3,,,,,
round_pairing,Round 2,1,603,733,tw32638091,,3,tw65972314,,3,,,,,
round_pairing,Round 2,1,603,765,tw65972314,,3,tw32638091,,3,,,,,
round_pairing,Round 2,1,604,729,tw29265523,,3,tw37101976,,3,,,,,
round_pairing,Round 2,1,604,740,tw37101976,,3,tw29265523,,3,,,,,
round_pairing,Round 2,1,605,1047,tw37855988,,3,tw24493749,,3,,,,,
round_pairing,Round 2,1,605,1886,tw24493749,,3,tw37855988,,3,,,,,
round_pairing,Round 2,1,606,1334,tw18142838,,3,tw42619471,,3,,,,,
round_pairing,Round 2,1,606,1772,tw42619471,,3,tw18142838,,3,,,,,
round_pairing,Round 2,1,607,1140,tw75837772,,3,tw58176881,,3,,,,,
round_pairing,Round 2,1,607,762,tw58176881,,3,tw75837772,,3,,,,,
round_pairing,Round 2,1,608,776,tw78670690,,3,tw89368672,,3,,,,,
round_pairing,Round 2,1,608,785,tw89368672,,3,tw78670690,,3,,,,,
round_pairing,Round 2,1,609,720,tw18336767,,3,tw81419386,,3,,,,,
round_pairing,Round 2,1,609,780,tw81419386,,3,tw18336767,,3,,,,,
round_pairing,Round 2,1,610,731,tw32262790,,3,tw66007671,,3,,,,,
round_pairing,Round 2,1,610,766,tw66007671,,3,tw32262790,,3,,,,,
round_pairing,Round 2,1,611,770,tw71084142,,3,tw82259698,,3,,,,,
round_pairing,Round 2,1,611,782,tw82259698,,3,tw71084142,,3,,,,,
round_pairing,Round 2,1,612,738,tw34406887,,3,tw97066779,,3,,,,,
round_pairing,Round 2,1,612,794,tw97066779,,3,tw34406887,,3,,,,,
round_pairing,Round 2,1,613,1038,tw80676630,,3,tw42212253,,3,,,,,
round_pairing,Round 2,1,613,746,tw42212253,,3,tw80676630,,3,,,,,
round_pairing,Round 2,1,614,1539,tw98560313,,3,tw00057543,,3,,,,,
round_pairing,Round 2,1,614,701,tw00057543,,3,tw98560313,,3,,,,,
round_pairing,Round 2,1,615,712,tw12360786,,3,tw65322738,,3,,,,,
round_pairing,Round 2,1,615,764,tw65322738,,3,tw12360786,,3,,,,,
round_pairing,Round 2,1,616,788,tw91203979,,3,tw94009574,,3,,,,,
round_pairing,Round 2,1,616,791,tw94009574,,3,tw91203979,,3,,,,,
round_pairing,Round 2,1,617,1732,tw55359182,,3,tw77877011,,3,,,,,
round_pairing,Round 2,1,617,1817,tw77877011,,3,tw55359182,,3,,,,,
round_pairing,Round 2,1,618,737,tw33562653,,3,tw38952785,,3,,,,,
round_pairing,Round 2,1,618,744,tw38952785,,3,tw33562653,,3,,,,,
round_pairing,Round 2,1,619,704,tw02105248,,3,tw10263420,,3,,,,,
round_pairing,Round 2,1,619,711,tw10263420,,3,tw02105248,,3,,,,,
round_pairing,Round 2,1,620,1417,tw37556303,,3,tw81357440,,3,,,,,
round_pairing,Round 2,1,620,779,tw81357440,,3,tw37556303,,3,,,,,
round_pairing,Round 2,1,621,730,tw30267620,,3,tw49113528,,3,,,,,
round_pairing,Round 2,1,621,752,tw49113528,,3,tw30267620,,3,,,,,
round_pairing,Round 2,1,622,1796,tw76708967,,3,tw37352245,,3,,,,,
round_pairing,Round 2,1,622,742,tw37352245,,3,tw76708967,,3,,,,,
round_pairing,Round 2,1,623,778,tw81291690,,3,tw99268898,,3,,,,,
round_pairing,Round 2,1,623,795,tw99268898,,3,tw81291690,,3,,,,,
round_pairing,Round 2,1,624,1333,tw40670915,,3,tw36617899,,3,,,,,
round_pairing,Round 2,1,624,1861,tw36617899,,3,tw40670915,,3,,,,,
round_pairing,Round 2,1,625,721,tw18716707,,3,tw91677599,,3,,,,,
round_pairing,Round 2,1,625,789,tw91677599,,3,tw18716707,,3,,,,,
round_pairing,Round 2,2,626,1599,tw52014839,,3,tw77197938,,3,,,,,
round_pairing,Round 2,2,626,774,tw77197938,,3,tw52014839,,3,,,,,
round_pairing,Round 2,2,627,1232,tw09468385,,3,tw57615176,,3,,,,,
round_pairing,Round 2,2,627,760,tw57615176,,3,tw09468385,,3,,,,,
round_pairing,Round 2,2,628,1549,tw000570442,,3,tw54587316,,3,,,,,
round_pairing,Round 2,2,628,757,tw54587316,,3,tw000570442,,3,,,,,
round_pairing,Round 2,2,629,1483,tw44119672,,3,tw49181959,,3,,,,,
round_pairing,Round 2,2,629,753,tw49181959,,3,tw44119672,,3,,,,,
round_pairing,Round 2,2,630,763,tw58583808,,3,tw70719415,,3,,,,,
round_pairing,Round 2,2,630,768,tw70719415,,3,tw58583808,,3,,,,,
round_pairing,Round 2,2,631,734,tw32908561,,0,tw42986392,,3,,,,,
round_pairing,Round 2,2,631,748,tw42986392,,3,tw32908561,,0,,,,,
round_pairing,Round 2,2,632,1527,tw12769027,,0,tw15417650,,0,,,,,
round_pairing,Round 2,2,632,717,tw15417650,,0,tw12769027,,0,,,,,
round_pairing,Round 2,2,633,1880,tw53413653,,0,tw55309622,,0,,,,,
round_pairing,Round 2,2,633,758,tw55309622,,0,tw53413653,,0,,,,,
round_pairing,Round 2,2,634,769,tw71024012,,0,tw89973725,,0,,,,,
round_pairing,Round 2,2,634,786,tw89973725,,0,tw71024012,,0,,,,,
round_pairing,Round 2,2,635,716,tw14215402,,0,tw42891021,,0,,,,,
round_pairing,Round 2,2,635,747,tw42891021,,0,tw14215402,,0,,,,,
round_pairing,Round 2,2,636,713,tw12786878,,0,tw37286261,,0,,,,,
round_pairing,Round 2,2,636,741,tw37286261,,0,tw12786878,,0,,,,,
round_pairing,Round 2,2,637,727,tw27088222,,0,tw28434285,,0,,,,,
round_pairing,Round 2,2,637,728,tw28434285,,0,tw27088222,,0,,,,,
round_pairing,Round 2,2,638,724,tw24152665,,0,tw25195359,,0,,,,,
round_pairing,Round 2,2,638,725,tw25195359,,0,tw24152665,,0,,,,,
round_pairing,Round 2,2,639,1107,tw95235085,,0,tw06699075,,0,,,,,
round_pairing,Round 2,2,639,707,tw06699075,,0,tw95235085,,0,,,,,
round_pairing,Round 2,2,640,708,tw06774867,,0,tw50896397,,0,,,,,
round_pairing,Round 2,2,640,755,tw50896397,,0,tw06774867,,0,,,,,
round_pairing,Round 2,2,641,1245,tw29790670,,0,tw00060663,,0,,,,,
round_pairing,Round 2,2,641,702,tw00060663,,0,tw29790670,,0,,,,,
round_pairing,Round 2,2,642,1124,tw48711959,,0,tw28186951,,0,,,,,
round_pairing,Round 2,2,642,1601,tw28186951,,0,tw48711959,,0,,,,,
round_pairing,Round 2,2,643,759,tw55774266,,0,tw96234784,,0,,,,,
round_pairing,Round 2,2,643,793,tw96234784,,0,tw55774266,,0,,,,,
round_pairing,Round 2,2,644,1011,tw98121463,,0,tw09082546,,0,,,,,
round_pairing,Round 2,2,644,1075,tw09082546,,0,tw98121463,,0,,,,,
round_pairing,Round 2,2,645,703,tw00283867,,0,tw74697953,,0,,,,,
round_pairing,Round 2,2,645,771,tw74697953,,0,tw00283867,,0,,,,,
round_pairing,Round 2,2,646,1091,tw36653768,,0,tw76371374,,0,,,,,
round_pairing,Round 2,2,646,773,tw76371374,,0,tw36653768,,0,,,,,
round_pairing,Round 2,2,647,739,tw35633566,,0,tw91113369,,0,,,,,
round_pairing,Round 2,2,647,787,tw91113369,,0,tw35633566,,0,,,,,
round_pairing,Round 2,2,648,777,tw81124094,,0,tw92487491,,0,,,,,
round_pairing,Round 2,2,648,790,tw92487491,,0,tw81124094,,0,,,,,
round_pairing,Round 2,2,649,1013,tw42355562,,0,tw37435098,,0,,,,,
round_pairing,Round 2,2,649,743,tw37435098,,0,tw42355562,,0,,,,,
round_pairing,Round 2,2,650,1942,tw97627454,,0,tw47050420,,0,,,,,
round_pairing,Round 2,2,650,751,tw47050420,,0,tw97627454,,0,,,,,
round_pairing,Round 2,3,651,772,tw75475628,,0,tw84697938,,0,,,,,
round_pairing,Round 2,3,651,784,tw84697938,,0,tw75475628,,0,,,,,
round_pairing,Round 2,3,652,1468,tw55391620,,0,tw94073321,,0,,,,,
round_pairing,Round 2,3,652,792,tw94073321,,0,tw55391620,,0,,,,,
round_pairing,Round 2,3,653,723,tw23009605,,0,tw58040892,,0,,,,,
round_pairing,Round 2,3,653,761,tw58040892,,0,tw23009605,,0,,,,,
round_pairing,Round 2,3,654,705,tw03103631,,0,tw77740333,,0,,,,,
round_pairing,Round 2,3,654,775,tw77740333,,0,tw03103631,,0,,,,,
round_pairing,Round 2,3,655,735,tw33233319,,0,tw45505316,,0,,,,,
round_pairing,Round 2,3,655,749,tw45505316,,0,tw33233319,,0,,,,,
round_pairing,Round 2,3,656,719,tw18059812,,0,,,,,,,,
round_pairing,Round 3,1,601,737,tw33562653,,6,tw42986392,,6,,,,,
round_pairing,Round 3,1,601,748,tw42986392,,6,tw33562653,,6,,,,,
round_pairing,Round 3,1,602,1886,tw24493749,,6,tw54587316,,6,,,,,
round_pairing,Round 3,1,602,757,tw54587316,,6,tw24493749,,6,,,,,
round_pairing,Round 3,1,603,1140,tw75837772,,6,tw40670915,,6,,,,,
round_pairing,Round 3,1,603,1333,tw40670915,,6,tw75837772,,6,,,,,
round_pairing,Round 3,1,604,1334,tw18142838,,6,tw02105248,,6,,,,,
round_pairing,Round 3,1,604,704,tw02105248,,6,tw18142838,,6,,,,,
round_pairing,Round 3,1,605,1483,tw44119672,,6,tw99268898,,6,,,,,
round_pairing,Round 3,1,605,795,tw99268898,,6,tw44119672,,6,,,,,
round_pairing,Round 3,1,606,718,tw15567133,,6,tw89368672,,6,,,,,
round_pairing,Round 3,1,606,785,tw89368672,,6,tw15567133,,6,,,,,
round_pairing,Round 3,1,607,1796,tw76708967,,6,tw08069127,,6,,,,,
round_pairing,Round 3,1,607,710,tw08069127,,6,tw76708967,,6,,,,,
round_pairing,Round 3,1,608,1417,tw37556303,,6,tw55359182,,6,,,,,
round_pairing,Round 3,1,608,1732,tw55359182,,6,tw37556303,,6,,,,,
round_pairing,Round 3,1,609,1232,tw09468385,,6,tw65972314,,6,,,,,
round_pairing,Round 3,1,609,765,tw65972314,,6,tw09468385,,6,,,,,
round_pairing,Round 3,1,610,701,tw00057543,,6,tw65322738,,6,,,,,
round_pairing,Round 3,1,610,764,tw65322738,,6,tw00057543,,6,,,,,
round_pairing,Round 3,1,611,720,tw18336767,,6,tw29265523,,6,,,,,
round_pairing,Round 3,1,611,729,tw29265523,,6,tw18336767,,6,,,,,
round_pairing,Round 3,1,612,768,tw70719415,,6,tw82259698,,6,,,,,
round_pairing,Round 3,1,612,782,tw82259698,,6,tw70719415,,6,,,,,
round_pairing,Round 3,1,613,774,tw77197938,,6,tw94009574,,6,,,,,
round_pairing,Round 3,1,613,791,tw94009574,,6,tw77197938,,6,,,,,
round_pairing,Round 3,1,614,730,tw30267620,,6,tw91677599,,6,,,,,
round_pairing,Round 3,1,614,789,tw91677599,,6,tw30267620,,6,,,,,
round_pairing,Round 3,1,615,731,tw32262790,,6,tw97066779,,6,,,,,
round_pairing,Round 3,1,615,794,tw97066779,,6,tw32262790,,6,,,,,
round_pairing,Round 3,1,616,1038,tw80676630,,6,tw13785127,,3,,,,,
round_pairing,Round 3,1,616,714,tw13785127,,3,tw80676630,,6,,,,,
round_pairing,Round 3,1,617,742,tw37352245,,3,tw37435098,,3,,,,,
round_pairing,Round 3,1,617,743,tw37435098,,3,tw37352245,,3,,,,,
round_pairing,Round 3,1,618,719,tw18059812,,3,tw71084142,,3,,,,,
round_pairing,Round 3,1,618,770,tw71084142,,3,tw18059812,,3,,,,,
round_pairing,Round 3,1,619,1075,tw09082546,,3,tw81357440,,3,,,,,
round_pairing,Round 3,1,619,779,tw81357440,,3,tw09082546,,3,,,,,
round_pairing,Round 3,1,620,712,tw12360786,,3,tw57615176,,3,,,,,
round_pairing,Round 3,1,620,760,tw57615176,,3,tw12360786,,3,,,,,
round_pairing,Round 3,1,621,752,tw49113528,,3,tw49181959,,3,,,,,
round_pairing,Round 3,1,621,753,tw49181959,,3,tw49113528,,3,,,,,
round_pairing,Round 3,1,622,771,tw74697953,,3,tw92487491,,3,,,,,
round_pairing,Round 3,1,622,790,tw92487491,,3,tw74697953,,3,,,,,
round_pairing,Round 3,1,623,723,tw23009605,,3,tw37286261,,3,,,,,
round_pairing,Round 3,1,623,741,tw37286261,,3,tw23009605,,3,,,,,
round_pairing,Round 3,1,624,1861,tw36617899,,3,tw04887888,,3,,,,,
round_pairing,Round 3,1,624,706,tw04887888,,3,tw36617899,,3,,,,,
round_pairing,Round 3,1,625,1599,tw52014839,,3,tw81291690,,3,,,,,
round_pairing,Round 3,1,625,778,tw81291690,,3,tw52014839,,3,,,,,
round_pairing,Round 3,2,626,758,tw55309622,,3,tw78670690,,3,,,,,
round_pairing,Round 3,2,626,776,tw78670690,,3,tw55309622,,3,,,,,
round_pairing,Round 3,2,627,1107,tw95235085,,3,tw66007671,,3,,,,,
round_pairing,Round 3,2,627,766,tw66007671,,3,tw95235085,,3,,,,,
round_pairing,Round 3,2,628,1245,tw29790670,,3,tw28434285,,3,,,,,
round_pairing,Round 3,2,628,728,tw28434285,,3,tw29790670,,3,,,,,
round_pairing,Round 3,2,629,751,tw47050420,,3,tw50896397,,3,,,,,
round_pairing,Round 3,2,629,755,tw50896397,,3,tw47050420,,3,,,,,
round_pairing,Round 3,2,630,733,tw32638091,,3,tw75475628,,3,,,,,
round_pairing,Round 3,2,630,772,tw75475628,,3,tw32638091,,3,,,,,
round_pairing,Round 3,2,631,1124,tw48711959,,3,tw12769027,,3,,,,,
round_pairing,Round 3,2,631,1527,tw12769027,,3,tw48711959,,3,,,,,
round_pairing,Round 3,2,632,1091,tw36653768,,3,tw24152665,,3,,,,,
round_pairing,Round 3,2,632,724,tw24152665,,3,tw36653768,,3,,,,,
round_pairing,Round 3,2,633,1772,tw42619471,,3,tw91203979,,3,,,,,
round_pairing,Round 3,2,633,788,tw91203979,,3,tw42619471,,3,,,,,
round_pairing,Round 3,2,634,735,tw33233319,,3,tw96234784,,3,,,,,
round_pairing,Round 3,2,634,793,tw96234784,,3,tw33233319,,3,,,,,
round_pairing,Round 3,2,635,1047,tw37855988,,3,tw98560313,,3,,,,,
round_pairing,Round 3,2,635,1539,tw98560313,,3,tw37855988,,3,,,,,
round_pairing,Round 3,2,636,740,tw37101976,,3,tw42212253,,3,,,,,
round_pairing,Round 3,2,636,746,tw42212253,,3,tw37101976,,3,,,,,
round_pairing,Round 3,2,637,721,tw18716707,,3,tw81419386,,3,,,,,
round_pairing,Round 3,2,637,780,tw81419386,,3,tw18716707,,3,,,,,
round_pairing,Round 3,2,638,763,tw58583808,,3,tw77740333,,3,,,,,
round_pairing,Round 3,2,638,775,tw77740333,,3,tw58583808,,3,,,,,
round_pairing,Round 3,2,639,738,tw34406887,,3,tw91113369,,3,,,,,
round_pairing,Round 3,2,639,787,tw91113369,,3,tw34406887,,3,,,,,
round_pairing,Round 3,2,640,1817,tw77877011,,3,tw94073321,,3,,,,,
round_pairing,Round 3,2,640,792,tw94073321,,3,tw77877011,,3,,,,,
round_pairing,Round 3,2,641,711,tw10263420,,3,tw38952785,,3,,,,,
round_pairing,Round 3,2,641,744,tw38952785,,3,tw10263420,,3,,,,,
round_pairing,Round 3,2,642,1549,tw000570442,,3,tw14215402,,3,,,,,
round_pairing,Round 3,2,642,716,tw14215402,,3,tw000570442,,3,,,,,
round_pairing,Round 3,2,643,762,tw58176881,,3,tw89973725,,3,,,,,
round_pairing,Round 3,2,643,786,tw89973725,,3,tw58176881,,3,,,,,
round_pairing,Round 3,2,644,761,tw58040892,,0,tw76371374,,0,,,,,
round_pairing,Round 3,2,644,773,tw76371374,,0,tw58040892,,0,,,,,
round_pairing,Round 3,2,645,703,tw00283867,,0,tw06699075,,0,,,,,
round_pairing,Round 3,2,645,707,tw06699075,,0,tw00283867,,0,,,,,
round_pairing,Round 3,2,646,708,tw06774867,,0,tw45505316,,0,,,,,
round_pairing,Round 3,2,646,749,tw45505316,,0,tw06774867,,0,,,,,
round_pairing,Round 3,2,647,1468,tw55391620,,0,tw42891021,,0,,,,,
round_pairing,Round 3,2,647,747,tw42891021,,0,tw55391620,,0,,,,,
round_pairing,Round 3,2,648,769,tw71024012,,0,tw84697938,,0,,,,,
round_pairing,Round 3,2,648,784,tw84697938,,0,tw71024012,,0,,,,,
round_pairing,Round 3,2,649,1011,tw98121463,,0,tw00060663,,0,,,,,
round_pairing,Round 3,2,649,702,tw00060663,,0,tw98121463,,0,,,,,
round_pairing,Round 3,2,650,734,tw32908561,,0,tw55774266,,0,,,,,
round_pairing,Round 3,2,650,759,tw55774266,,0,tw32908561,,0,,,,,
round_pairing,Round 3,3,651,727,tw27088222,,0,tw35633566,,0,,,,,
round_pairing,Round 3,3,651,739,tw35633566,,0,tw27088222,,0,,,,,
round_pairing,Round 3,3,652,1601,tw28186951,,0,tw53413653,,0,,,,,
round_pairing,Round 3,3,652,1880,tw53413653,,0,tw28186951,,0,,,,,
round_pairing,Round 3,3,653,1013,tw42355562,,0,tw03103631,,0,,,,,
round_pairing,Round 3,3,653,705,tw03103631,,0,tw42355562,,0,,,,,
round_pairing,Round 3,3,654,713,tw12786878,,0,tw81124094,,0,,,,,
round_pairing,Round 3,3,654,777,tw81124094,,0,tw12786878,,0,,,,,
round_pairing,Round 3,3,655,1942,tw97627454,,0,tw25195359,,0,,,,,
round_pairing,Round 3,3,655,725,tw25195359,,0,tw97627454,,0,,,,,
round_pairing,Round 4,1,601,710,tw08069127,,9,tw15567133,,9,,,,,
round_pairing,Round 4,1,601,718,tw15567133,,9,tw08069127,,9,,,,,
round_pairing,Round 4,1,602,764,tw65322738,,9,tw77197938,,9,,,,,
round_pairing,Round 4,1,602,774,tw77197938,,9,tw65322738,,9,,,,,
round_pairing,Round 4,1,603,1886,tw24493749,,9,tw18336767,,9,,,,,
round_pairing,Round 4,1,603,720,tw18336767,,9,tw24493749,,9,,,,,
round_pairing,Round 4,1,604,1232,tw09468385,,9,tw32262790,,9,,,,,
round_pairing,Round 4,1,604,731,tw32262790,,9,tw09468385,,9,,,,,
round_pairing,Round 4,1,605,1333,tw40670915,,9,tw02105248,,9,,,,,
